bathrooms,indoor_surface,communal_pool,u/f_heating_climate_control,gym,communal_garden,domotics,private_pool,private_garden,barbeque,jacuzzi,luxury,bedrooms,alarm_system_security,games_room,price_log,price_raw
0.44952106267325953,0.7280620739289283,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0909090909090909,1.0,0.0,14.430696737594902,1850000
0.4165460034809779,0.7036628547851727,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.0,14.220976332738882,1500000
0.2398124665681314,0.5097482624763414,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,12.948012371209098,420000
0.33934363298846004,0.5169099527025074,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0909090909090909,1.0,0.0,12.896719202134523,399000
0.2398124665681314,0.43416132677396735,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,12.301387370778713,220000
0.2398124665681314,0.4826164789488717,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,12.367345048436391,235000
0.09953116642032861,0.3534301978314919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.128116509451258,185000
0.33934363298846004,0.6984319331181235,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0909090909090909,1.0,1.0,13.910821646859095,1100000
0.09953116642032861,0.5151417878920896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25486757159303,210000
0.2398124665681314,0.4946662245988611,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.0,0.0,12.896719202134523,399000
0.2398124665681314,0.45392982148028205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,12.230770136157428,205000
0.4165460034809779,0.8484729883667816,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.0,0.0,14.60169306007217,2195000
0.2398124665681314,0.5464752650226343,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.045454545454545456,0.0,0.0,12.896719202134523,399000
0.4165460034809779,0.7671205021818419,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.13636363636363635,1.0,0.0,14.845130332288226,2800000
0.33934363298846004,0.6304905191780039,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.0,0.0,14.496079462646344,1975000
0.33934363298846004,0.6675730547996126,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0909090909090909,1.0,0.0,13.652992804936396,850000
0.09953116642032861,0.42081350580469246,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.185875040240456,196000
0.33934363298846004,0.7814655874216476,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,13.955273369904273,1150000
0.4165460034809779,0.5817726229007949,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0909090909090909,1.0,0.0,13.02805489573287,455000
0.2398124665681314,0.5354558849531945,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,12.721888795877375,335000
0.2398124665681314,0.486708618136364,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,12.765691290604371,350000
0.5791560995565915,0.6386367391835448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,12.323860125621126,225000
0.479624933136263,0.9464607691901825,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.22727272727272724,0.0,0.0,15.404745967162468,4900000
0.33934363298846004,0.5830706982200806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13636363636363635,1.0,0.0,12.969214528909768,429000
0.5568273036287807,0.9440630789921878,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.22727272727272724,1.0,1.0,15.671808704579888,6400000
0.2398124665681314,0.5023395692776051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,12.524530013005734,275000
0.479624933136263,0.7604239347054067,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.18181818181818182,1.0,0.0,14.496079462646344,1975000
0.33934363298846004,0.6241715103430854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,11.982935344196433,160000
0.4165460034809779,0.6613713223637818,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,13.753636218075409,940000
